句子,朝代,解释
"人言落日是天涯
望极天涯不见家",出自宋代 李觏《乡思》,"解释：人们都说太阳落山的地方就是天涯，我竭力朝天涯眺望，也没有看到我的家。

赏析：此句从极远处着笔，写诗人极目天涯时所见所感，极力写出故乡的遥远，流露出诗人的浓郁乡思。"
"海上生明月
天涯共此时",出自唐代 张九龄《望月怀远》,"解释：辽阔无际的海上升起一轮明月，使人忆起远隔天涯海角的亲友，此刻我们正望着同一轮明月。

赏析：起句“海上生明月”，意境雄浑阔大，自然具有一种高华浑融的气象，“天涯共此时”一句即由景入情，转入“怀远”，写了诗人月夜怀念远人的心情。"
"露从今夜白
月是故乡明",出自唐代 杜甫《月夜忆舍弟》,"解释：从今夜就进入了白露节气，月亮还是故乡的最明亮。

赏析：“露从今夜白”一句既写景，也点明节候，白露的夜晚，清露盈盈，令人顿生寒意，“月是故乡明”一句又融入了诗人的主观感情，深刻地表现了诗人对故乡的感怀。"
"山一程
水一程
身向榆关那畔行
夜深千帐灯",出自清代 纳兰性德《长相思·山一程》,"解释：跋山涉水走过一程又一程，将士们马不停蹄地向着山海关进发。夜已经深了，千万个帐篷里都点起了灯。

赏析：此句写出旅程的艰难曲折，遥远漫长，表达了诗人对故乡的深深依恋和怀念，在豪迈的词句中寓寄了词人无限的乡愁。"
"春风又绿江南岸
明月何时照我还？",出自宋代 王安石《泊船瓜洲》,"解释：和煦的春风又吹绿了江南岸边景色，皎洁的明月什么时候才能照着我回到家乡呢？

赏析：诗人描写江岸美丽的春色，“绿”字将诗意开拓一层，把看不见的春风转换成鲜明的视觉形象，又将草绿与思归联系在一起，暗示了诗人希望早日辞官归家的心愿，寄托了诗人浩荡的情思，结句的疑问语气更增添了诗人内心的无奈和伤感。"
"今夜月明人尽望
不知秋思落谁家",出自唐代 王建《十五夜望月》,"解释：今天晚上人们都仰望当空明月，不知道这秋思之情落在了谁家？

赏析：此句诗人没有正面写自己的思亲之愁，而是用一种疑问式的委婉语气道出那绵绵的愁念会落在谁家，更具月明人远、思深情长的意境。"
"洛阳亲友如相问
一片冰心在玉壶",出自唐代 王昌龄《芙蓉楼送辛渐》,"解释：如果洛阳的亲友若是问起我来，就说我的心依然像玉壶里的冰一样纯洁，未受功名利禄等世情的玷污。

赏析：诗人以晶莹透明的冰心玉壶自喻，表现了不肯妥协的精神，刻画了诗人孤介傲岸、冰清玉洁的形象，后人常用“冰心玉壶”形容人内心情操的纯洁高净。"
"落叶他乡树
寒灯独夜人",出自唐代 马戴《灞上秋居》,"解释：面对他乡树木落叶纷纷，寒夜的孤灯独照我一人。

赏析：此句的一个“寒”字，一个“独”字，写出诗人灞上秋居漂泊异乡孤独寂寞的情景，突出诗人的孤独凄苦。"
"近乡情更怯
不敢问来人",出自唐代 宋之问《渡汉江》,"解释：离故乡越近心中越胆怯，不敢询问从家那边过来的人。

赏析：此句写了诗人急切盼回家，又怕到家里的矛盾心理状态，更能体现诗人此际强自抑制的急切愿望和由此造成的精神痛苦。"
"羌笛何须怨杨柳
春风不度玉门关",出自唐代 王之涣《凉州词二首·其一》,"解释：何必用羌笛吹起那哀怨的《杨柳曲》去埋怨春光迟迟不来呢，原来玉门关一带春风是吹不到的啊！

赏析：诗人不说“闻折柳”却说“怨杨柳”，造语尤妙，深化了诗意，“何须怨”看似宽慰，实则曲折表达了心中的抱怨，诗人委婉地表达了对皇帝不顾及戍守玉门关边塞士兵的生死，不能体恤边塞士兵的抱怨之情。"
