NO,文案
1,向海风许愿，在山海相见。
2,愿你熬过万丈孤独，藏下星辰大海。
3,无人问津的港口总是开满鲜花
4,一切都是成长，包括热泪盈眶。
5,兜兜转转的重逢才是浪漫的开始
6,慢慢走 沿途有风景 背后有阳光.
7,有幸被照亮，也想成为光。
8,保持心脏震荡，有人等你共鸣。
9,简单的喜欢最长远，懂你的人最温柔
10,做你自己，爱你的人自然爱你。
11,我走过的路要繁花盛开，人声鼎沸
12,慢慢理解世界，慢慢更新自己。
13,蕞好的状态是一点点向喜欢的东西靠近。
14,经历与年龄无关，但优秀与努力有关。
15,风停在窗边，嘱咐我要热爱这个世界。
16,要成为别人的遥不可望不可及
17,路还长，温柔的事一定会发生。
18,上了生活的贼船，就做快乐的海盗
19,不同的列车都在开往更好的方向.
20,海鸥不眷恋大海的话 可以飞得更高.
21,所有事情只要你觉得值得就好.
22,隔过星辰大海，无畏世俗和尘埃。
23,足够温柔的人一定会有足够的幸运.
24,深夜和清晨，都请用力去生活。
25,往事不再过问，未来共赴前程。
26,不要眼眶一红，就觉得人间不值得。
27,去拥抱陌生，去期待惊喜。
28,愿你保持善良，从此拥有远方。
29,你生来就值得被爱，这点你无需质疑。
30,风停在窗边嘱咐你要热爱这个世界.
1,你那么温柔，多走两步，相信风都会甜一些。
2,人间一趟，积极向上，不畏将来，不念过往。
3,浪漫的不是海，也不是日落，而是你自己。
4,少女心和骑士精神，可以属于同一个女孩。
5,风里的草莓味都是你的可爱挤出来的。
6,总有一天，你也会是别人眼中遥不可及的温柔月光。
7,这漫天星辰的光辉，不及你一眼的凝眸。
8,我已亭亭，无忧亦无惧
9,希望日子清净，抬头皆是温柔
10,以欢喜之心慢度时光，落落大方，枯木逢春
11,做一个只记得快乐和知识点的女孩儿
12,路过山水万程，祝自己与温柔重逢。
13,在最美好的年纪，记得要浪漫一点
14,追逐落日是我献给自己的浪漫。
15,少女的眼应该满怀清明大意和温柔阳光。
16,记住你永远都是星河遗落在世间的星。
17,有趣有盼，不负心中热爱
18,愿你已渺小启程，以伟大结束。
19,我当然不会试图摘月，我要月亮奔我而来。
20,你是落日弥漫的橘，天边透亮的星。
21,时常撒娇，适当服软，偶尔装傻，永远清醒。
22,积极向上永远是我的主旋律
23,向太阳一样有起有落，却不失光彩。
24,白茶风吹春日暖，人间有味是清欢
25,喜欢简单的事，干净的东西，清楚的感觉
26,做个清淡欢颜的女孩，寂静于暖，安然于甜。
27,别否定自己你特别好，特别温柔，特别值得
28,细腻的美好，藏在生活各处
29,女孩，什么浪子回头，痴心不改，都不如你的手里有钱。
30,快乐法则，减少期待，戒掉敏感
1,“有了小说原型，谋划好了电影剧本，但我们不是演员，等不到圆满的结局。”
2,“这八百里山河慢， 再不要相逢，也不要相识了”
3,“人总是靠分开后的痛觉，来分辨爱意的深浅。”
4,“难过怎么说的清楚，失落又怎能感同身受。”
5,“没什么表达欲，也无所谓别人懂不懂”
6,“可惜你不是我，你不知道我曾经听了很多人的意见，却还是捂着耳朵去爱你。”
7,“忘了我吧陪你走过的那段路，就当是为你以后的幸福铺路。”
8,“我就这样坐着，生活给我什么我就接着，拿走什么我就看着。”
9,“终究成了那个保有她所有联系方式，却不愿再被联系的人。”
10,“你站在原地还以为回得去，可是世界上有成千上万的爱，一种爱可以重来。”
11,“我记得有些路是我一个人走过来的 很黑 风也很大”
12,“不要站在雾里，更不要执着没有意义了的人和事”
13,“为什么我对这个世界极尽温柔换来的却是卑微与冷落。”
14,“迟到的阳光，救不了枯萎的向日葵”
15,“怎样都行，我的心越来越平静”
16,“你是我的人，就算是呼吸也有撇不清的关系”
17,“人死后肯定会去天堂，为什么不会有地狱呢!那是因为活着在人间，人间就是地狱。”
18,“可是亲眼看着自己栽的树，以后就要为别人遮风挡雨了，难免有些哽咽。”
19,“你承诺过的月亮还是没有出现”
20,“很多事情我还记在心里，我只是瞒着所有人假装迈过的这个坎。”
21,“我以为长大可以解决所有的问题，但长大才是问题的开始。”
22,“忘了吧连同那些尖酸刻薄的话和夜里流的泪。”
23,“好多话想说，好多话没说，好多话不能说。”
24,“生活已经很累了，如果爱不能给人力量，反而产生消耗，那爱的意义是什么”
25,“其实我一直是个遇到点冷漠就想走的人，可我也真的为你停留了好久。”
26,“我们大都走在一条相似的路上却误以为自己惊世骇俗。”
27,“敏感的人，总要承受双倍难过”
28,“一个人走，一个人静，一个人思考，一个人时也许最孤独，但却最清醒。”
29,“是认清 是看淡 是无所谓 是顺其自然 是不重要了”
30,“没有什么避风港，风很强，雨很大:我控制不了我那忽好忽坏的烂情绪。”
31,“没什么避风港，风很大，雨很强，我控制不了我那忽好忽坏的烂情绪。”
32,“我好像只是偶尔被需要，从来都没有很重要”
33,“那天你哭着求我放过你，却忘了当初是你主动找的我。”
34,“没有结局的故事太多了，我们不过是那树上的枯枝烂叶。”
35,“我最信任的人，教会我不要信任何人”
36,“言语伤害像是一场慢性病，不会致死，但深受折磨。”
37,“说反话的时候希望你不要顺了我的意。”
38,“情绪的尽头不是脏话，不是发泄，而是沉默。”
39,“在快餐式恋爱的时代，我熬的粥又慢又清淡，谁会喜欢呢？”
40,“最近好累，处理着乱七八糟的关系，总是一个人偷偷抹眼泪，路也是一个人走。”
1,我差一点就要碰到星星了，只是后来天亮了。
2,一句会好的，撑了我一年又一年，一句先苦后甜，让我熬了一天又一天！
3,"世界上最大的监狱,，就是自己的大脑，走不出自己的执念，到哪都是囚徒。"
4,雨太大了，撑伞也没用，我的意思是，无所谓了。
5,对相爱的人来说，对方的心才是最好的房子。
6,我见过所有美好的事务都发生在别人身上。
7,在这薄情的世界里 你想拿深情留住什么
8,希望不要再有短暂出现的人，打破我平静的生活，又匆匆离开。
9,见一面都很难的人，居然还在幻想着有以后。
10,随你，我的爱早在你一次次的不知好歹中被碾碎了。
11,随便吧，也没有特别想维持的关系
12,那我又是谁故事里的甲乙丙丁
13,我毫无底线的缝缝补补很疲惫，突然觉得我该清醒了。
14,眼泪真的很奇怪，疼的时候可以忍住，累了也可以忍住，偏偏委屈的时候忍不住。
15,搭错车和错过车都不遗憾，遗憾的是都没到达终点。
16,所有的失望都是来源于我对你凭空的期待。
17,我无法拦住要走的风，也无法拥抱整片天空。
18,喜欢到最后变成了不甘，主动变成了犯贱。
19,什么都是短暂的，只有遗憾和失去是漫长的。
20,她来人间一趟，先是在父亲家里暂住一些年，然后去丈夫家借住些年，最后在儿子家落一落脚，这辈子像个客人一样，最后化为风中飞絮，水上浮萍。
21,刻在我心里抹不掉的，是你和我的曾经。
22,感情世界里最没用的四种东西，分手后的后悔，不爱后的关怀，低智商的善良，高高在上的自尊心。
23,我总担心会失去你，却唯独忘了照顾好自己。
24,我站在清醒与麻木的边缘，不能堕落也不能解脱。
25,深夜是打开冰箱透出的光亮，是起一罐啤酒清脆的声响，是音响里深沉的嗓音。孤独没有形状，却是无数个你白日的模样。
26,容易被辜负的，永远都是那些天真又心软的人，毕竟好骗又好欺负，伤疤一好，就忘了痛。
27,原来最痛苦的惩罚不是忘记，而是永远记得。
28,后来，南山的风吹散了谷堆，北海的水淹没了墓碑。
29,事情可以自己做，姨妈来了自己扛，想要的东西自己买，为什么还要吃恋爱的苦。
30,所谓的意难平，终归结底都是败给权衡利弊。
31,曾以为自己是心脏的主人，后来发现，你才是。
32,你一生走南闯北，充其量，顶多也只能遇见三个人，一个要你活，一个要你死，一个根本不在意你死活。
33,很长的时间里，我穿梭在孤独的人群中，感情麻木又空白，我彷徨着，仿佛已经完全失去了自我。
34,感情是个奇怪又可怕的东西：它会将谁都陶醉其中，并刻骨铭心地撕裂伤害每一个受傷之微小角落。
35,放心吧!就算这次把夜熬穿了也不会再想着你了。
36,后来我没再找你，不是你不重要，而是我知道我不重要了。
37,自那以后，我便不再轻信承诺，我只笑着点点头说我知道了。
38,轻描淡写是我一夜一夜熬出来的。
39,你跋山涉水去见的人根本不会牢记你，他只会记得自己跋山涉水见过的人。
40,早就被代替了，耿耿于怀的只是我而已。
41,如果能想通，就不会在夜里难过了。
42,天很蓝，找一个风大的地方 把我忘了吧
43,到底什么样的终点，才能配得上这一路的颠簸流离。
44,回忆之所以美丽，是因为谁都回不去。
45,我没有闹脾气，我只是不知道怎么用尖锐的方式表达我的不开心。
46,百般委屈涌上心头，话到嘴边却觉得不值一提。
47,我从未放弃喜欢你，只是从浓烈变得悄无声息。
48,爱来爱去才发现，其实不爱的时候最开心。
49,我要山，要海，要自由，开玩笑的，我只要我这颗破碎的心不再受伤害。
50,连崩溃都要考虑后果的人，是懂事，还是无能为力。
