NO,情感
1,就因为太爱那个人，所以才没敢告诉他，你走之后我真想你啊。也因为你不会回来，所以我要努力克制自己，在回忆里做个体面人。
2,"真正爱你的人 
是在你最丑陋的时光里 
将你的好坏一并包容的人  ​​​​"
3,有时候，我们就像鱼缸里的鱼，想说的话很多，一开口就化成了一串省略号。。。。最后都默默的留在了心里。。。 ​​​​
4,习惯了不该习惯的习惯，却执着着不该执着的执着。有时候，在乎得太多，对自己而言也是一种折磨。 ​​​​
5,喜欢上你，并不是你长的好不好看的原因，而是你在特殊的时间里给了我别人给不了的感觉。
6,眼泪真正的作用是洗净眼睛，要你看清楚让你落泪的那个人。眼泪也是当你无法用嘴来解释你的心碎的时候，用眼睛表达情绪的唯一方式。 ​​​​
7,自己想要的东西，要么奋力直追，要么干脆放弃。别总是逢人就喋喋不休的表决心或者哀怨不断，做别人茶余饭后的笑点。 ​​​​
8,"""当你学会拒绝别人，学会以牙还牙时，他们反而会尊重你， 甚至敬畏你。我终于相信了那句话：无情一点并没有错。 "" ​​​​"
9,总是这样，一瞬间想通了，释然了，在下一秒又想不通了。大道理都懂，可小情绪却难自控。 ​​​​
10,你越在意什么，什么就越会折磨你。生活本就不易，不必渴求别人的理解和认同，静静的过自己的生活就好。心若不动，风又奈何，你若不伤，岁月无恙。
