1,2,3,4,5,6,7
请叫Ayo97,有多少是日推来的感谢各位,2017年4月8日,74.7万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
帐号已注销,巨她妈难过，我说不出,2017年4月22日,42.4万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
顾已辞,直到后来看到你恋爱的样子 才知道自己从来没有被你爱过,2017年6月5日,33.5万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
涂心茹是大哥,"我记得很久之前去ktv玩真心话大冒险,一个男生选大冒险 给初恋打了电话 开了免提 他很紧张的一直在抖 我们所有人屏着呼吸 只听到手机里传来姑娘的声音 三年了你不说话我都知道是你 我没有谈恋爱 也从没有忘记你 你玩了五次大冒险 每次打来电话都不说话 可我知道是你,所以你什么意思",2017年9月27日,26.3万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
安与大树,相爱容易 因为五官 相处不易 因为三观,2017年7月11日,16.9万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
请叫Ayo97,最近还会写新歌 如果可以关注一下 毕竟不是每首都能上日推 可以私信我 有什么好的题材我可以试着写写,2017年4月9日,16万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
精神院的小丑,如果我们当初不添加好友 现在也不会有那么多故事 或许遇见都是天意 拥有的都是幸运 能陪在身边就好最好的.错的人迟早要走散 而相爱的终将会相逢 如果两个人注定在一起 不管绕多大一圈依然会回到彼此身边. 如果这条评论沉下去了就当我说了个笑话吧.,2017年11月7日,14.9万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
但与友歌,我妈爱了我二十年我还跟她吵架你不过爱了我几个月我就跟你低头服软我对不起我妈 你也对不起我,2018年9月18日,12.2万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
恋人,你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我愿意用十年奋斗 换你一小时的笑脸,2018年1月16日,10.1万,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
怕你惊黑暗,她傻到以为我也是真的爱她,2017年7月17日,99539,感谢你曾来过,周思涵/Ayo97,作词 : 周思涵/Ayo97作曲 : 周思涵/Ayo97你最近过的还好吗我故事里的那个她海南的冬天没有雪但不影响他开着花自从你走后我回到了那个没有你的家就是在这个地方我说我要娶了她你是我这一辈子最最难忘的关卡我抱着吉他被暴雨淋伤到你家楼下为你四处游荡做了一个只会歌唱的傻瓜你才不是一个没人要的女同学谁会不厌其烦的安慰那无知的少年我走进了你的世界别怪我太耀眼我愿意用我十年奋斗换你一个小时的笑脸你当时特别的可爱但能不能靠近点你不说真心话你让我怎么为你大冒险曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断的在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我人总要学着孤独试着慢慢去长大遗憾就遗憾吧当你重新回到这你送我的我都不要了我希望你也会笑着走过去前面的路口以后我们的故事就到这嘿干嘛不讲话我希望你过的更好我也不会放不下别继续看着我你确实应该听你爸只有看着你的背影我才能说出心里话曾经的照片还留在那个房间曾经的一切还印在我心里面感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我呼……嘿耶……哦……感谢你曾经来过就算你是个过客我也无法割舍不得我说的每句话你都已听不见回忆的一幕幕不断在浮现不后悔曾经爱过哭过痛过都值得如果难过也不要忘了我忘了我OP：汇音文化展开
